no,name,stock_code,team
554,MALAYSIAN RESOURCES CORPORATION BERHAD,1651,1
555,MALPAC HOLDINGS BERHAD,4936,1
556,MALTON BERHAD,6181,1
557,MANAGEPAY SYSTEMS BERHAD,0156,4
558,MANFORCE GROUP BERHAD,03015,4
559,MANULIFE HOLDINGS BERHAD,1058,1
560,MARCO HOLDINGS BERHAD,3514,3
561,MARINE & GENERAL BERHAD,5078,3
562,MASTER TEC GROUP BERHAD,0295,4
563,MASTER-PACK GROUP BERHAD,7029,2
564,MATANG BERHAD,0189,4
565,MATRIX CONCEPTS HOLDINGS BERHAD,5236,1
566,MATRIX PARKING SOLUTION HOLDINGS BERHAD,03019,4
567,MAXIM GLOBAL BERHAD,4022,1
568,MAXIS BERHAD,6012,7
569,MAXLAND BERHAD,7123,2
570,MAYBULK BERHAD,5077,3
571,MAYU GLOBAL GROUP BERHAD,7099,2
572,MBM RESOURCES BHD,5983,3
573,MBSB BERHAD,1171,1
574,MCE HOLDINGS BERHAD,7004,2
575,MCLEAN TECHNOLOGIES BERHAD,0167,4
576,MCOM HOLDINGS BERHAD,03022,4
577,MEDIA CHINESE INTERNATIONAL LIMITED,5090,7
578,MEDIA PRIMA BERHAD,4502,7
579,MEGA FIRST CORPORATION BERHAD,3069,1
580,MELATI EHSAN HOLDINGS BERHAD,5129,7
581,MELEWAR INDUSTRIAL GROUP BERHAD,3778,2
582,MENANG CORPORATION (M) BERHAD,1694,1
583,MENTIGA CORPORATION BERHAD,5223,1
584,MERCURY INDUSTRIES BERHAD,8192,7
585,MERCURY SECURITIES GROUP BERHAD,0285,4
586,MERIDIAN BERHAD,5040,1
587,MESB BERHAD,7234,3
588,MESINIAGA BERHAD,5011,7
589,MESTRON HOLDINGS BERHAD,0207,2
590,META BRIGHT GROUP BERHAD,2097,3
591,METRO HEALTHCARE BERHAD,03005,4
592,METROD HOLDINGS BERHAD,6149,2
593,METRONIC GLOBAL BERHAD,0043,2
594,MGB BERHAD,7595,7
595,MHC PLANTATIONS BHD,5026,1
596,MI TECHNOVATION BERHAD,5286,7
597,MICROLINK SOLUTIONS BERHAD,0126,7
598,MIECO CHIPBOARD BERHAD,5001,2
599,MIKRO MSC BERHAD,0112,4
600,MILUX CORPORATION BERHAD,7935,3
601,MINETECH RESOURCES BERHAD,7219,2
602,MINHO (M) BERHAD,5576,2
603,MINOX INTERNATIONAL GROUP BERHAD,0288,4
604,MISC BERHAD,3816,3
605,MITRAJAYA HOLDINGS BERHAD,9571,7
606,MK LAND HOLDINGS BERHAD,8893,1
607,MKH BERHAD,6114,1
608,MKH OIL PALM (EAST KALIMANTAN) BERHAD,5319,1
609,MLABS SYSTEMS BERHAD,0085,4
610,MMAG HOLDINGS BERHAD,0034,4
611,MMIS BERHAD,03027,4
612,MMM GROUP BERHAD,0159,7
613,MMS VENTURES BERHAD,0113,7
614,MN HOLDINGS BERHAD,0245,4
615,MNRB HOLDINGS BERHAD,6459,1
616,MOBILIA HOLDINGS BERHAD,0229,3
617,MPHB CAPITAL BERHAD,5237,1
618,MPIRE GLOBAL BERHAD,7943,3
619,MQ TECHNOLOGY BERHAD,0070,4
620,MR D.I.Y. GROUP (M) BERHAD,5296,3
621,MSM MALAYSIA HOLDINGS BERHAD,5202,3
622,MST GOLF GROUP BERHAD,5316,3
623,MTAG GROUP BERHAD,0213,4
624,MTOUCHE TECHNOLOGY BERHAD,0092,4
625,MUAR BAN LEE GROUP BERHAD,5152,2
626,MUDA HOLDINGS BERHAD,3883,2
627,MUDAJAYA GROUP BERHAD,5085,7
628,MUHIBBAH ENGINEERING (M) BHD,5703,7
629,MUI PROPERTIES BERHAD,3913,1
630,MULPHA INTERNATIONAL BERHAD,3905,3
631,MULTI-USAGE HOLDINGS BERHAD,9539,1
632,MY E.G. SERVICES BERHAD,0138,7
633,MYCRON STEEL BERHAD,5087,2
634,MYMBN BERHAD,0280,4
635,MYNEWS HOLDINGS BERHAD,5275,3
636,MYTECH GROUP BERHAD,7692,2
637,N2N CONNECT BERHAD,0108,4
638,NAIM HOLDINGS BERHAD,5073,1
639,NATIONGATE HOLDINGS BERHAD,0270,2
640,NCT ALLIANCE BERHAD,0056,1
641,NEGRI SEMBILAN OIL PALMS BERHAD,2038,1
642,NESTCON BERHAD,0235,4
643,NESTLE (MALAYSIA) BERHAD,4707,3
644,NETX HOLDINGS BERHAD,0020,4
645,NEW HOONG FATT HOLDINGS BERHAD,7060,3
646,NEXGRAM HOLDINGS BERHAD,0096,4
647,NEXTGREEN GLOBAL BERHAD,7241,2
648,NI HSIN GROUP BERHAD,7215,3
649,NICHE CAPITAL EMAS HOLDINGS BERHAD,7139,3
650,NOTION VTEC BERHAD,0083,7
651,NOVA MSC BERHAD,0026,4
652,NOVA PHARMA SOLUTIONS BERHAD,03006,4
653,NOVA WELLNESS GROUP BERHAD,0201,1
654,NOVELPLUS TECHNOLOGY BERHAD,03045,4
655,NPC RESOURCES BERHAD,5047,1
656,NTPM HOLDINGS BERHAD,5066,3
657,NYLEX (MALAYSIA) BERHAD,4944,2
658,OCB BERHAD,5533,3
659,OCEAN FRESH BERHAD,0312,4
660,OCEAN VANTAGE HOLDINGS BERHAD,0220,4
661,OCEANCASH PACIFIC BERHAD,0049,3
662,OCK GROUP BERHAD,0172,7
663,OCR GROUP BERHAD,7071,7
664,OKA CORPORATION BHD,7140,2
665,OLYMPIA INDUSTRIES BERHAD,3018,3
666,OM HOLDINGS LIMITED,5298,2
667,OMESTI BERHAD,9008,7
668,ONE GLOVE GROUP BERHAD,5079,3
669,ONETECH SOLUTIONS HOLDINGS BERHAD,03041,4
670,ONLY WORLD GROUP HOLDINGS BERHAD,5260,3
671,OPENSYS (M) BERHAD,0040,7
672,OPPSTAR BERHAD,0275,4
673,OPTIMAX HOLDINGS BERHAD,0222,1
674,ORGABIO HOLDINGS BERHAD,0252,4
675,ORIENTAL FOOD INDUSTRIES HOLDINGS BERHAD,7107,3
676,ORIENTAL HOLDINGS BERHAD,4006,3
677,ORIENTAL INTEREST BERHAD,5827,1
678,ORNAPAPER BERHAD,5065,2
679,OSK HOLDINGS BERHAD,5053,1
680,OSK VENTURES INTERNATIONAL BERHAD,0053,4
681,OVERSEA ENTERPRISE BERHAD,0153,4
682,P.A. RESOURCES BERHAD,7225,2
683,P.I.E. INDUSTRIAL BERHAD,7095,2
684,PACIFIC & ORIENT BERHAD,6009,1
685,PADINI HOLDINGS BERHAD,7052,3
686,PAN MALAYSIA CORPORATION BERHAD,4081,3
687,PAN MALAYSIA HOLDINGS BERHAD,1287,3
688,PANASONIC MANUFACTURING MALAYSIA BERHAD,3719,3
689,PANDA ECO SYSTEM BERHAD,0290,4
690,PANSAR BERHAD,8419,2
691,PANTECH GROUP HOLDINGS BERHAD,5125,2
692,PAOS HOLDINGS BERHAD,5022,3
693,PAPPAJACK BERHAD,0242,4
694,PARAGON GLOBE BERHAD,3611,1
695,PARAGON UNION BERHAD,9407,3
696,PARAMOUNT CORPORATION BERHAD,1724,1
697,PARKSON HOLDINGS BERHAD,5657,3
698,PARKWOOD HOLDINGS BERHAD,2682,1
699,PARLO BERHAD,0022,4
700,PASDEC HOLDINGS BERHAD,6912,1
701,PASUKHAS GROUP BERHAD,0177,4
702,PAVILION REAL ESTATE INVESTMENT TRUST,5212,1
703,PBA HOLDINGS BHD,5041,1
704,PBS BERHAD,5231,3
705,PCCS GROUP BERHAD,6068,3
706,PDZ HOLDINGS BHD,6254,3
707,PECCA GROUP BERHAD,5271,2
708,PEGASUS HEIGHTS BERHAD,4464,1
709,PEKAT GROUP BERHAD,0233,4
710,PENSONIC HOLDINGS BERHAD,9997,3
711,PENTAMASTER CORPORATION BERHAD,7160,7
712,PERAK CORPORATION BERHAD,8346,1
713,PERAK TRANSIT BERHAD,0186,3
714,PERDANA PETROLEUM BERHAD,7108,3
715,PERMAJU INDUSTRIES BERHAD,7080,3
716,PERTAMA DIGITAL BERHAD,8532,3
717,PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD,5436,2
718,PESONA METRO HOLDINGS BERHAD,8311,7
719,PESTECH INTERNATIONAL BERHAD,5219,2
720,PETERLABS HOLDINGS BERHAD,0171,4
721,PETRA ENERGY BERHAD,5133,3
722,PETRON MALAYSIA REFINING & MARKETING BHD,3042,3
723,PETRONAS CHEMICALS GROUP BERHAD,5183,3
724,PETRONAS DAGANGAN BHD,5681,3
725,PETRONAS GAS BERHAD,6033,3
726,PGF CAPITAL BERHAD,8117,2
727,PHARMANIAGA BERHAD,7081,1
728,PIMPINAN EHSAN BERHAD,5622,7
729,PINEAPPLE RESOURCES BERHAD,0006,4
730,PINEHILL PACIFIC BERHAD,1902,1
731,PINTARAS JAYA BHD,9598,7
732,PJBUMI BERHAD,7163,2
733,PLB ENGINEERING BERHAD,7055,1
734,PLENITUDE BERHAD,5075,1
735,PLS PLANTATIONS BERHAD,9695,1
736,PLYTEC HOLDING BERHAD,0289,4
737,PMB TECHNOLOGY BERHAD,7172,2
738,PNE PCB BERHAD,6637,2
739,POH HUAT RESOURCES HOLDINGS BERHAD,7088,3
740,POH KONG HOLDINGS BERHAD,5080,3
741,POLYDAMIC GROUP BERHAD,03031,4
742,POS MALAYSIA BERHAD,4634,3
743,POWER ROOT BERHAD,7237,3
744,POWERWELL HOLDINGS BERHAD,0217,4
745,PPB GROUP BERHAD,4065,3
746,PRESS METAL ALUMINIUM HOLDINGS BERHAD,8869,2
747,PRESTAR RESOURCES BERHAD,9873,2
748,PRG HOLDINGS BERHAD,7168,3
749,PRINCIPAL FTSE ASEAN 40 MALAYSIA ETF,0822EA,2
750,PRINCIPAL FTSE CHINA 50 ETF,0823EA,2
751,PRIVASIA TECHNOLOGY BERHAD,0123,4
752,PROGRESSIVE IMPACT CORPORATION BERHAD,7201,2
753,PROLINTAS INFRA BUSINESS TRUST,5320,2
754,PROPEL GLOBAL BERHAD,0091,3
755,PROTASCO BERHAD,5070,7
756,PT RESOURCES HOLDINGS BERHAD,0260,4
757,PTT SYNERGY GROUP BERHAD,7010,1
758,PUBLIC BANK BERHAD,1295,1
759,PUBLIC PACKAGES HOLDINGS BHD,8273,2
760,PUC BERHAD,0007,4
761,PUNCAK NIAGA HOLDINGS BERHAD,6807,7
762,PWF CORPORATION BERHAD,7134,3
763,QES GROUP BERHAD,0196,2
764,QL RESOURCES BERHAD,7084,3
765,QUALITY CONCRETE HOLDINGS BERHAD,7544,2
766,RADIANT GLOBALTECH BERHAD,0202,4
767,RADIUM DEVELOPMENT BERHAD,5313,1
768,RALCO CORPORATION BERHAD,7498,2
769,RAMSSOL GROUP BERHAD,0236,4
770,RANHILL UTILITIES BERHAD,5272,1
771,RAPID SYNERGY BERHAD,7765,1
772,RAY GO SOLAR HOLDINGS BERHAD,03052,4
773,RCE CAPITAL BERHAD,9296,1
774,REACH ENERGY BERHAD,5256,3
775,RED IDEAS HOLDINGS BERHAD,03002,4
776,RED SENA BERHAD,5270,1
777,REDPLANET BERHAD,03036,4
778,REDTONE DIGITAL BERHAD,0032,7
779,REKATECH CAPITAL BERHAD,0081,4
780,RENEUCO BERHAD,7130,3
781,RESERVOIR LINK ENERGY BHD,0219,3
782,RESINTECH BERHAD,7232,2
783,REVENUE GROUP BERHAD,0200,7
784,REX INDUSTRY BERHAD,9946,3
785,REXIT BERHAD,0106,4
786,RGB INTERNATIONAL BHD,0037,3
787,RGT BERHAD,9954,2
788,RHB BANK BERHAD,1066,1
789,RHONE MA HOLDINGS BERHAD,5278,3
790,RHONG KHEN INTERNATIONAL BERHAD,7006,3
791,RIMBUNAN SAWIT BERHAD,5113,1
792,RIVERVIEW RUBBER ESTATES BERHAD,2542,1
793,ROHAS TECNIC BERHAD,9741,2
794,RTS TECHNOLOGY HOLDINGS BERHAD,03039,4
795,S & F CAPITAL BERHAD,8745,2
796,S P SETIA BERHAD,8664,1
797,SAFETYWARE GROUP BERHAD,03056,4
798,SALCON BERHAD,8567,1
799,SALUTICA BERHAD,0183,3
800,SAM ENGINEERING & EQUIPMENT (M) BERHAD,9822,2
801,SAMAIDEN GROUP BERHAD,0223,2
802,SAMCHEM HOLDINGS BERHAD,5147,2
803,SANCY BERHAD,03057,4
804,SANICHI TECHNOLOGY BERHAD,0133,4
805,SAPURA ENERGY BERHAD,5218,3
806,SAPURA INDUSTRIAL BERHAD,7811,3
807,SAPURA RESOURCES BERHAD,4596,3
808,SARAWAK CABLE BERHAD,5170,2
809,SARAWAK CONSOLIDATED INDUSTRIES BERHAD,9237,2
810,SARAWAK OIL PALMS BERHAD,5126,1
811,SARAWAK PLANTATION BERHAD,5135,1
812,SASBADI HOLDINGS BERHAD,5252,7
813,SAUDEE GROUP BERHAD,5157,3
814,SBC CORPORATION BERHAD,5207,1
815,SBH MARINE HOLDINGS BERHAD,0300,4
816,SC ESTATE BUILDER BERHAD,0109,4
817,SCANWOLF CORPORATION BERHAD,7239,2
818,SCC HOLDINGS BERHAD,0158,4
819,SCGM BHD,7247,2
820,SCICOM (MSC) BERHAD,0099,2
821,SCIENTEX BERHAD,4731,2
822,SCIENTEX PACKAGING (AYER KEROH) BERHAD,8125,2
823,SCOMI ENERGY SERVICES BHD,7045,3
824,SCOPE INDUSTRIES BERHAD,0028,4
825,SD GUTHRIE BERHAD,5285,1
826,SDS GROUP BERHAD,0212,3
827,SEACERA GROUP BERHAD,7073,2
828,SEAL INCORPORATED BERHAD,4286,1
829,SEALINK INTERNATIONAL BERHAD,5145,3
830,SECUREMETRIC BERHAD,0203,4
831,SEDANIA INNOVATOR BERHAD,0178,4
832,SEE HUP CONSOLIDATED BERHAD,7053,3
833,SEERS BERHAD,03009,4
834,SEG INTERNATIONAL BHD,9792,3
835,SELANGOR DREDGING BERHAD,2224,1
836,SENG FONG HOLDINGS BERHAD,5308,2
837,SENHENG NEW RETAIL BERHAD,5305,3
838,SENI JAYA CORPORATION BERHAD,9431,7
839,SENTORIA GROUP BERHAD,5213,1
840,SENTRAL REIT,5123,1
841,SEREMBAN ENGINEERING BERHAD,5163,2
842,SERN KOU RESOURCES BERHAD,7180,3
843,SERSOL BERHAD,0055,4
844,SFP TECH HOLDINGS BERHAD,0251,4
845,SHANGRI-LA HOTELS (MALAYSIA) BERHAD,5517,3
846,SHH RESOURCES HOLDINGS BERHAD,7412,3
847,SHIN YANG GROUP BERHAD,5173,3
848,SHL CONSOLIDATED BHD,6017,1
849,SIAB HOLDINGS BERHAD,0241,4
850,SIGNATURE INTERNATIONAL BERHAD,7246,3
851,SILVER RIDGE HOLDINGS BHD,0129,4
852,SIME DARBY BERHAD,4197,1
853,SIME DARBY PROPERTY BERHAD,5288,1
854,SIN HENG CHAN (MALAYA) BERHAD,4316,1
855,SINARAN ADVANCE GROUP BERHAD,5172,3
856,SIN-KUNG LOGISTICS BERHAD,0305,4
857,SINMAH CAPITAL BERHAD,9776,3
858,SKB SHUTTERS CORPORATION BERHAD,7115,2
859,SKP RESOURCES BHD,7155,2
860,SKYWORLD DEVELOPMENT BERHAD,5315,1
861,SL INNOVATION CAPITAL BERHAD,03008,4
862,SLP RESOURCES BERHAD,7248,2
863,SMART ASIA CHEMICAL BHD,0306,4
864,SMILE-LINK HEALTHCARE GLOBAL BERHAD,03023,4
865,SMIS CORPORATION BERHAD,7132,2
866,SMRT HOLDINGS BERHAD,0117,4
867,SMTRACK BERHAD,0169,4
868,SNOWFIT GROUP BERHAD,03054,4
869,SNS NETWORK TECHNOLOGY BERHAD,0259,7
870,SOLARVEST HOLDINGS BERHAD,0215,2
871,SOLID AUTOMOTIVE BERHAD,5242,3
872,SOLUTION GROUP BERHAD,0093,4
873,SOUTH MALAYSIA INDUSTRIES BERHAD,4375,1
874,SOUTHERN ACIDS (M) BERHAD,5134,2
875,SOUTHERN CABLE GROUP BERHAD,0225,2
876,SOUTHERN SCORE BUILDERS BERHAD,0045,4
877,SOUTHERN STEEL BERHAD,5665,2
878,SPORTS TOTO BERHAD,1562,3
879,SPRING ART HOLDINGS BERHAD,0216,4
880,SPRITZER BHD,7103,3
881,SSF HOME GROUP BERHAD,0287,4
882,STAR MEDIA GROUP BERHAD,6084,7
883,STEEL HAWK BERHAD,03049,4
884,STRAITS ENERGY RESOURCES BERHAD,0080,4
885,SUBUR TIASA HOLDINGS BERHAD,6904,2
886,SUCCESS TRANSFORMER CORPORATION BERHAD,7207,2
887,SUNGEI BAGAN RUBBER COMPANY (MALAYA) BERHAD,2569,1
888,SUNMOW HOLDING BERHAD,03050,4
889,SUNSURIA BERHAD,3743,1
890,SUNVIEW GROUP BERHAD,0262,4
891,SUNWAY BERHAD,5211,7
892,SUNWAY CONSTRUCTION GROUP BERHAD,5263,7
893,SUNWAY REAL ESTATE INVESTMENT TRUST,5176,1
894,SUNZEN BIOTECH BERHAD,0148,4
895,SUPERCOMNET TECHNOLOGIES BERHAD,0001,1
896,SUPERGENICS BERHAD,03033,4
897,SUPERLON HOLDINGS BERHAD,7235,2
898,SUPERMAX CORPORATION BERHAD,7106,1
899,SUPREME CONSOLIDATED RESOURCES BERHAD,03018,4
900,SURIA CAPITAL HOLDINGS BERHAD,6521,3
901,SWIFT HAULAGE BERHAD,5303,3
902,SWS CAPITAL BERHAD,7186,3
903,SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,6139,1
904,SYCAL VENTURES BERHAD,9717,7
905,SYMPHONY LIFE BERHAD,1538,1
906,SYNERGY HOUSE BERHAD,0279,4
907,SYSTECH BHD,0050,4
908,T7 GLOBAL BERHAD,7228,3
909,TA ANN HOLDINGS BERHAD,5012,1
910,TA WIN HOLDINGS BERHAD,7097,2
911,TAFI INDUSTRIES BERHAD,7211,3
912,TALAM TRANSFORM BERHAD,2259,1
913,TALIWORKS CORPORATION BERHAD,8524,1
914,TAMBUN INDAH LAND BERHAD,5191,1
915,TAN CHONG MOTOR HOLDINGS BERHAD,4405,3
916,TANCO HOLDINGS BERHAD,2429,1
917,TAS OFFSHORE BERHAD,5149,3
918,TASCO BERHAD,5140,3
919,TASHIN HOLDINGS BERHAD,0211,4
920,TCS GROUP HOLDINGS BERHAD,0221,4
921,TDM BERHAD,2054,1
922,TECHBASE INDUSTRIES BERHAD,8966,3
923,TECHBOND GROUP BERHAD,5289,2
924,TECHNA-X BERHAD,2739,3
925,TECHNODEX BHD,0132,4
926,TECK GUAN PERDANA BERHAD,7439,3
927,TEK SENG HOLDINGS BERHAD,7200,3
928,TELADAN GROUP BERHAD,0230,1
929,TELEKOM MALAYSIA BERHAD,4863,7
930,TENAGA NASIONAL BHD,5347,1
931,TEO GUAN LEE CORPORATION BERHAD,9369,3
932,TEO SENG CAPITAL BERHAD,7252,3
933,TEX CYCLE TECHNOLOGY (M) BERHAD,0089,4
934,TEXCHEM RESOURCES BERHAD,8702,2
935,TFP SOLUTIONS BERHAD,0145,4
936,TH PLANTATIONS BERHAD,5112,1
937,THETA EDGE BERHAD,9075,7
938,THONG GUAN INDUSTRIES BERHAD,7034,2
939,THREE-A RESOURCES BERHAD,0012,3
940,THRIVEN GLOBAL BERHAD,7889,1
941,TIEN WAH PRESS HOLDINGS BERHAD,7374,2
942,TIMBERWELL BERHAD,7854,2
943,TIME DOTCOM BERHAD,5031,7
944,TIONG NAM LOGISTICS HOLDINGS BERHAD,8397,3
945,TITIJAYA LAND BERHAD,5239,1
946,TMC LIFE SCIENCES BERHAD,0101,1
947,TOMEI CONSOLIDATED BERHAD,7230,3
948,TOMYPAK HOLDINGS BERHAD,7285,2
949,TONG HERR RESOURCES BERHAD,5010,2
950,TOP GLOVE CORPORATION BHD,7113,1
951,TOPMIX BERHAD,0302,4
952,TOPVISION EYE SPECIALIST BERHAD,03013,4
953,TOTAL DYNAMIC HOLDINGS BERHAD,03058,4
954,TOWER REAL ESTATE INVESTMENT TRUST,5111,1
955,TOYO VENTURES HOLDINGS BERHAD,7173,2
956,TPC PLUS BERHAD,7176,3
957,TRADEPLUS DWA MALAYSIA MOMENTUM TRACKER,0836EA,2
958,TRADEPLUS MSCI ASIA EX JAPAN REITS TRACKER,0837EA,2
959,TRADEPLUS S&P NEW CHINA TRACKER-MYR,0829EA,2
960,TRADEPLUS S&P NEW CHINA TRACKER-USD,0829EB,2
961,TRADEPLUS SHARIAH GOLD TRACKER,0828EA,2
962,TRC SYNERGY BERHAD,5054,7
963,TRI-MODE SYSTEM (M) BERHAD,0199,4
964,TRIVE PROPERTY GROUP BERHAD,0118,7
965,TROPICANA CORPORATION BERHAD,5401,1
966,TSA GROUP BERHAD,0297,4
967,TSH RESOURCES BERHAD,9059,1
968,TSR CAPITAL BERHAD,5042,7
969,TT VISION HOLDINGS BERHAD,0272,4
970,TUJU SETIA BERHAD,5297,7
971,TUNE PROTECT GROUP BERHAD,5230,1
972,TURBO-MECH BERHAD,5167,2
973,TURIYA BERHAD,4359,7
974,TWL HOLDINGS BERHAD,7079,1
975,UCHI TECHNOLOGIES BERHAD,7100,2
976,UCI RESOURCES BERHAD,03043,4
977,UCREST BERHAD,0005,4
978,UEM EDGENTA BERHAD,1368,1
979,UEM SUNRISE BERHAD,5148,1
980,UMEDIC GROUP BERHAD,0256,1
981,UMS HOLDINGS BERHAD,7137,2
982,UMS-NEIKEN GROUP BERHAD,7227,2
983,UNI WALL APS HOLDINGS BERHAD,03017,4
984,UNIMECH GROUP BERHAD,7091,2
985,UNIQUE FIRE HOLDINGS BERHAD,0257,4
986,UNISEM (M) BERHAD,5005,7
987,UNITED MALACCA BERHAD,2593,1
988,UNITED PLANTATIONS BERHAD,2089,1
989,UNITED U-LI CORPORATION BERHAD,7133,2
990,UNITRADE INDUSTRIES BERHAD,0247,4
991,UOA DEVELOPMENT BHD,5200,1
992,UOA REAL ESTATE INVESTMENT TRUST,5110,1
993,UPA CORPORATION BHD,7757,3
994,UUE HOLDINGS BERHAD,0310,4
995,UWC BERHAD,5292,7
996,UZMA BERHAD,7250,3
997,V.S. INDUSTRY BERHAD,6963,2
998,VARIA BERHAD,5006,7
999,VELESTO ENERGY BERHAD,5243,3
1000,VELOCITY CAPITAL PARTNER BERHAD,7165,2
1001,VERSATILE CREATIVE BERHAD,4995,2
1002,VESTLAND BERHAD,0273,4
1003,VINVEST CAPITAL HOLDINGS BERHAD,0069,4
1004,VISDYNAMICS HOLDINGS BERHAD,0120,4
1005,VITROX CORPORATION BERHAD,0097,7
1006,VIZIONE HOLDINGS BERHAD,7070,7
1007,VOLCANO BERHAD,0232,4
1008,VP-DJ SHARIAH CHINA A-SHARES 100 ETF - MYR,0838EA,2
1009,VSOLAR GROUP BERHAD,0066,4
1010,VSTECS BERHAD,5162,7
1011,WAJA KONSORTIUM BERHAD,0102,4
1012,WANG-ZHENG BERHAD,7203,3
1013,WARISAN TC HOLDINGS BERHAD,5016,3
1014,WASCO BERHAD,5142,3
1015,WATTA HOLDING BERHAD,7226,2
1016,WCE HOLDINGS BERHAD,3565,7
1017,WCT HOLDINGS BERHAD,9679,7
1018,WEGMANS HOLDINGS BERHAD,0197,3
1019,WELL CHIP GROUP BERHAD,5325,1
1020,WELLCALL HOLDINGS BERHAD,7231,2
1021,WELLSPIRE HOLDINGS BERHAD,0271,4
1022,WENTEL ENGINEERING HOLDINGS BERHAD,0298,4
1023,WESTPORTS HOLDINGS BERHAD,5246,3
1024,WHITE HORSE BERHAD,5009,2
1025,WIDAD GROUP BERHAD,0162,4
1026,WILLOWGLEN MSC BERHAD,0008,7
1027,WMG HOLDINGS BERHAD,6378,1
1028,WONG ENGINEERING CORPORATION BERHAD,7050,2
1029,WOODLANDOR HOLDINGS BHD,7025,2
1030,WTK HOLDINGS BERHAD,4243,2
1031,XIDELANG HOLDINGS LTD,5156,3
1032,XIN HWA HOLDINGS BERHAD,5267,3
1033,XIN SYNERGY GROUP BERHAD,7043,2
1034,XL HOLDINGS BERHAD,7121,3
1035,XOX BHD,0165,4
1036,XOX NETWORKS BERHAD,0140,4
1037,XOX TECHNOLOGY BERHAD,0017,4
1038,Y&G CORPORATION BHD,7003,1
1039,Y.S.P. SOUTHEAST ASIA HOLDING BERHAD,7178,1
1040,YB VENTURES BERHAD,5048,2
1041,YBS INTERNATIONAL BERHAD,0025,4
1042,YENHER HOLDINGS BERHAD,5300,3
1043,YEW LEE PACIFIC GROUP BERHAD,0248,4
1044,YGL CONVERGENCE BERHAD,0086,4
1045,YINSON HOLDINGS BERHAD,7293,3
1046,YLI HOLDINGS BERHAD,7014,2
1047,YNH PROPERTY BERHAD,3158,1
1048,YONG TAI BERHAD,7066,1
1049,YOONG ONN CORPORATION BERHAD,5159,3
1050,YTL CORPORATION BERHAD,4677,1
1051,YTL HOSPITALITY REIT,5109,1
1052,YTL POWER INTERNATIONAL BHD,6742,1
1053,YX PRECIOUS METALS BHD,0250,4
1054,ZANTAT HOLDINGS BERHAD,0301,4
1055,ZECON BERHAD,7028,7
1056,ZELAN BERHAD,2283,7
1057,ZEN TECH INTERNATIONAL BERHAD,0094,4
1058,ZHULIAN CORPORATION BERHAD,5131,3
