no,name,stock_code,team
129,CAB CAKARAN CORPORATION BERHAD,7174,3
130,CABNET HOLDINGS BERHAD,0191,4
131,CAHYA MATA SARAWAK BERHAD,2852,2
132,CAM RESOURCES BERHAD,7128,3
133,CAN-ONE BERHAD,5105,2
134,CAPE EMS BERHAD,5311,2
135,CAPITAL A BERHAD,5099,3
136,CAPITALAND MALAYSIA TRUST,5180,1
137,CAREPLUS GROUP BERHAD,0163,1
138,CARIMIN PETROLEUM BERHAD,5257,3
139,CARLO RINO GROUP BERHAD,03016,4
140,CARLSBERG BREWERY MALAYSIA BERHAD,2836,3
141,CARZO HOLDINGS BERHAD,03048,4
142,CATCHA DIGITAL BERHAD,0173,4
143,CB INDUSTRIAL PRODUCT HOLDING BERHAD,7076,2
144,CC INTERNATIONAL BERHAD,03053,4
145,CCK CONSOLIDATED HOLDINGS BERHAD,7035,3
146,CE TECHNOLOGY BERHAD,03024,4
147,CEKD BERHAD,0238,4
148,CELCOMDIGI BERHAD,6947,7
149,CENGILD MEDICAL BERHAD,0243,4
150,CENSOF HOLDINGS BERHAD,5195,7
151,CENTRAL GLOBAL BERHAD,8052,2
152,CEPATWAWASAN GROUP BERHAD,8982,1
153,CHEETAH HOLDINGS BERHAD,7209,3
154,CHIN HIN GROUP BERHAD,5273,2
155,CHIN HIN GROUP PROPERTY BERHAD,7187,3
156,CHIN TECK PLANTATIONS BERHAD,1929,1
157,CHIN WELL HOLDINGS BERHAD,5007,2
158,CHINA OUHUA WINERY HOLDINGS LIMITED,5188,3
159,CHOO BEE METAL INDUSTRIES BHD,5797,2
160,CHUAN HUAT RESOURCES BHD,7016,2
161,CIMB GROUP HOLDINGS BERHAD,1023,1
162,CITAGLOBAL BERHAD,7245,2
163,CITRA NUSA HOLDINGS BERHAD,5104,3
164,CJ CENTURY LOGISTICS HOLDINGS BERHAD,7117,3
165,CLASSITA HOLDINGS BERHAD,7154,3
166,CLOUDARON GROUP BERHAD,03001,4
167,CLOUDPOINT TECHNOLOGY BERHAD,0277,4
168,CME GROUP BERHAD,7018,2
169,CN ASIA CORPORATION BHD,7986,2
170,CNERGENZ BERHAD,0246,7
171,COASTAL CONTRACTS BHD,5071,3
172,COMFORT GLOVES BERHAD,2127,2
173,COMPUGATES HOLDINGS BERHAD,5037,2
174,COMPUTER FORMS (MALAYSIA) BERHAD,8044,2
175,CONCRETE ENGINEERING PRODUCTS BERHAD,8435,2
176,CORAZA INTEGRATED TECHNOLOGY BERHAD,0240,4
177,COSMOS TECHNOLOGY INTERNATIONAL BERHAD,0261,4
178,COUNTRY HEIGHTS HOLDINGS BHD,5738,1
179,COUNTRY VIEW BERHAD,5049,1
180,CPE TECHNOLOGY BERHAD,5317,2
181,CRESCENDO CORPORATION BERHAD,6718,1
182,CREST BUILDER HOLDINGS BERHAD,8591,7
183,CRITICAL HOLDINGS BERHAD,0291,4
184,CSC STEEL HOLDINGS BERHAD,5094,2
185,CTOS DIGITAL BERHAD,5301,7
186,CUSCAPI BERHAD,0051,7
187,CWG HOLDINGS BERHAD,9423,3
188,CYBERJAYA EDUCATION GROUP BERHAD,5166,3
189,CYL CORPORATION BERHAD,7157,2
190,CYPARK RESOURCES BERHAD,5184,2
191,D & O GREEN TECHNOLOGIES BERHAD,7204,7
192,DAGANG NEXCHANGE BERHAD,4456,7
193,DANAINFRA NASIONAL BERHAD,0400GB,2
194,DANCOMECH HOLDINGS BERHAD,5276,2
195,DATAPREP HOLDINGS BHD,8338,7
196,DATASONIC GROUP BERHAD,5216,7
197,DAYANG ENTERPRISE HOLDINGS BERHAD,5141,3
198,DAYTHREE DIGITAL BERHAD,0281,4
199,DC HEALTHCARE HOLDINGS BERHAD,0283,4
200,DELEUM BERHAD,5132,3
201,DESTINI BERHAD,7212,2
202,DFCITY GROUP BERHAD,5165,2
203,DGB ASIA BERHAD,0152,4
204,DIALOG GROUP BERHAD,7277,3
205,DIGISTAR CORPORATION BERHAD,0029,7
206,DIVFEX BERHAD,0131,4
207,DKLS INDUSTRIES BHD,7528,7
208,DKSH HOLDINGS (MALAYSIA) BERHAD,5908,3
209,D'NONCE TECHNOLOGY BHD,7114,2
